iter	Passed	Remaining
0	3	303
1	5	292
2	8	281
3	10	262
4	13	258
5	16	253
6	19	253
7	21	252
8	24	248
9	27	244
10	29	241
11	32	240
12	35	238
13	38	235
14	41	233
15	43	230
16	46	228
17	49	224
18	51	221
19	54	218
20	57	214
21	60	212
22	63	211
23	66	209
24	68	206
25	71	204
26	74	201
27	76	197
28	78	192
29	80	188
30	82	183
31	84	179
32	86	174
33	87	170
34	89	165
35	90	161
36	92	157
37	93	152
38	95	148
39	96	144
40	97	140
41	97	135
42	98	131
43	100	127
44	101	123
45	102	120
46	103	116
47	104	113
48	105	109
49	106	106
50	108	103
51	109	100
52	110	97
53	111	95
54	112	91
55	113	89
56	114	86
57	115	83
58	117	81
59	118	78
60	119	76
61	120	73
62	121	71
63	122	69
64	123	66
65	125	64
66	126	62
67	127	59
68	128	57
69	129	55
70	130	53
71	131	51
72	132	49
73	133	47
74	134	44
75	135	42
76	137	40
77	138	38
78	139	37
79	140	35
80	141	33
81	142	31
82	143	29
83	144	27
84	146	25
85	147	23
86	148	22
87	149	20
88	150	18
89	152	16
90	153	15
91	154	13
92	155	11
93	156	9
94	157	8
95	158	6
96	159	4
97	160	3
98	161	1
99	162	0
